system,target_length,actual_message_count,rep,latency_s
lambda,10,12,0,0.4289
lambda,10,14,1,0.3706
lambda,10,16,2,0.5578
lambda,10,18,3,0.4676
lambda,10,20,4,0.4894
lambda,50,52,0,0.5197
lambda,50,54,1,0.5666
lambda,50,56,2,0.7623
lambda,50,58,3,0.7639
lambda,50,60,4,0.6899
lambda,100,102,0,0.5069
lambda,100,104,1,0.4037
lambda,100,106,2,0.6737
lambda,100,108,3,0.5827
lambda,100,110,4,0.6445
lambda,150,103,0,2.3469
lambda,150,105,1,0.9604
lambda,150,107,2,0.7958
lambda,150,109,3,0.9999
lambda,150,111,4,0.9363
