system,rep,checkpoint_msgs,actual_message_count,input_chars,output_chars,est_input_tokens,est_output_tokens,est_total_tokens,real_prompt_tokens,real_completion_tokens,latency_s
ec2,0,2,2,19,193,5,48,53,41,47,0.2732
ec2,0,20,20,3465,441,866,110,976,922,97,0.5286
ec2,0,60,60,24563,1442,6141,360,6501,5642,276,1.1395
ec2,0,120,120,72634,1768,18158,442,18600,15456,339,1.767
ec2,1,2,2,19,217,5,54,59,41,50,0.2369
ec2,1,20,20,3622,600,906,150,1056,971,134,0.683
ec2,1,60,60,25477,541,6369,135,6504,6040,115,1.184
ec2,1,120,120,45267,27,11317,7,11324,10536,8,0.8178
ec2,2,2,2,19,263,5,66,70,41,62,0.2933
ec2,2,20,20,3325,396,831,99,930,881,89,0.5012
ec2,2,60,60,35458,4473,8864,1118,9983,8425,1024,2.0425
ec2,2,120,120,170218,4473,42554,1118,43673,39625,1024,3.8487
ec2,3,2,2,19,205,5,51,56,41,47,0.2224
ec2,3,20,20,2623,309,656,77,733,729,69,0.3969
ec2,3,60,60,8963,271,2241,68,2308,2394,65,0.3929
ec2,3,120,120,18311,290,4578,72,4650,4861,68,0.5701
ec2,4,2,2,19,217,5,54,59,41,50,0.239
ec2,4,20,20,3268,551,817,138,955,887,131,0.5445
ec2,4,60,60,30300,2622,7575,656,8230,6932,544,1.5741
ec2,4,120,120,124963,3404,31241,851,32092,26866,686,2.7233
